地区,年份,总人数,高学历人数占比,gdp,高学历人数,低学历人数
江西,2005,2276.71,1.403,3941.2,31.9422413,2244.7677587
山东,2005,5689.2,1.673,15947.5,95.180316,5594.019684
河南,2005,5662.41,1.464,10243.5,82.8976824,5579.5123176
湖北,2005,3537.0,2.003,6469.7,70.84611000000001,3466.15389
湖南,2005,3801.48,1.653,6369.9,62.8384644,3738.6415356
广东,2005,5022.97,2.505,21963.0,125.82539849999999,4897.1446015
广西,2005,2703.06,1.46,3742.1,39.464676,2663.595324
海南,2005,379.55,2.174,884.9,8.251417,371.298583
重庆,2005,1456.3,1.823,3448.4,26.548348999999998,1429.751651
四川,2005,4702.0,1.37,7195.9,64.4174,4637.5826
贵州,2005,1944.29,1.364,1939.9,26.520115600000004,1917.7698844
云南,2005,2461.32,1.273,3497.7,31.3326036,2429.9873964000003
西藏,2005,143.6,0.2,243.1,0.2872,143.31279999999998
陕西,2005,1976.0,2.649,3817.2,52.34424,1923.65576
甘肃,2005,1391.36,1.545,1864.6,21.496512,1369.863488
青海,2005,291.04,3.035,499.4,8.833064,282.20693600000004
宁夏,2005,299.6,2.99,579.9,8.95804,290.64196000000004
新疆,2005,791.62,3.567,2520.5,28.2370854,763.3829146
北京,2006,919.7,19.401,8387.0,178.43099700000002,741.269003
天津,2006,562.92,7.562,3538.2,42.568010400000006,520.3519895999999
河北,2006,3609.99,1.424,10043.0,51.406257599999996,3558.5837423999997
山西,2006,1561.16,2.746,4713.6,42.86945360000001,1518.2905464
内蒙古,2006,1051.2,2.006,4161.8,21.087072,1030.112928
辽宁,2006,2128.1,3.589,8390.3,76.377509,2051.722491
吉林,2006,1250.5,2.395,3226.5,29.949475000000003,1220.550525
黑龙江,2006,1784.1,2.448,5329.8,43.67476799999999,1740.4252319999998
上海,2006,885.51,14.455,10598.9,128.0004705,757.5095295
江苏,2006,4628.95,2.78,21240.8,128.68480999999997,4500.26519
浙江,2006,3172.38,3.757,15302.7,119.18631660000001,3053.1936834000003
安徽,2006,3741.0,1.109,6500.3,41.48769,3699.51231
福建,2006,1958.0,2.035,7468.6,39.8453,1918.1547
江西,2006,2321.07,2.127,4696.8,49.3691589,2271.7008411
山东,2006,5756.3,1.676,18967.8,96.475588,5659.824412
河南,2006,5718.72,0.955,11977.9,54.613776,5664.106224
湖北,2006,3564.0,3.133,7531.8,111.66012,3452.33988
湖南,2006,3842.17,1.914,7431.6,73.5391338,3768.6308662
广东,2006,5177.02,2.694,25961.2,139.4689188,5037.5510812
广西,2006,2760.0,1.26,4417.8,34.775999999999996,2725.224
海南,2006,389.03,1.976,1027.5,7.687232799999999,381.34276719999997
重庆,2006,1454.77,1.859,3900.3,27.044174299999998,1427.7258257
四川,2006,4715.0,1.093,8494.7,51.53495,4663.46505
贵州,2006,1953.24,0.896,2264.1,17.5010304,1935.7389696
云南,2006,2517.6,1.106,4090.7,27.844656,2489.7553439999997
西藏,2006,148.198,0.0,285.9,0.0,148.198
陕西,2006,1986.0,2.443,4595.6,48.517979999999994,1937.48202
甘肃,2006,1401.36,0.783,2203.0,10.9726488,1390.3873512
青海,2006,294.19,2.401,585.2,7.063501899999999,287.1264981
宁夏,2006,308.1,3.076,683.3,9.477156,298.62284400000004
新疆,2006,811.75,3.839,2957.3,31.1630825,780.5869175
北京,2007,942.7,19.376,10425.5,182.65755200000004,760.042448
天津,2007,613.93,7.815,4158.4,47.9786295,565.9513704999999
河北,2007,3664.97,1.593,12152.9,58.382972099999996,3606.5870278999996
山西,2007,1595.65,2.593,5935.6,41.3752045,1554.2747955
内蒙古,2007,1081.53,2.369,5166.9,25.621445700000002,1055.9085542999999
辽宁,2007,2180.7,3.672,10292.2,80.075304,2100.624696
吉林,2007,1266.1,2.723,4080.3,34.475902999999995,1231.624097
黑龙江,2007,1827.6,1.968,6126.3,35.967167999999994,1791.632832
上海,2007,1024.33,13.459,12878.7,137.8645747,886.4654252999999
江苏,2007,4677.88,2.268,25988.4,106.09431839999999,4571.7856816
浙江,2007,3220.29,3.366,18640.0,108.39496140000001,3111.8950386
安徽,2007,3818.0,0.851,7941.6,32.49118,3785.50882
福建,2007,1999.0,2.759,9325.6,55.15241,1943.84759
江西,2007,2369.55,2.972,5777.6,70.42302600000001,2299.1269740000002
山东,2007,5803.6,1.519,22718.1,88.156684,5715.443316000001
河南,2007,5772.72,0.893,14824.5,51.55038960000001,5721.1696104
湖北,2007,3584.0,2.503,9451.4,89.70752,3494.29248
湖南,2007,3883.41,1.658,9285.5,64.3869378,3819.0230622
广东,2007,5341.5,2.972,31742.6,158.74938,5182.75062
广西,2007,2769.0,1.084,5474.8,30.01596,2738.98404
海南,2007,397.46,1.548,1234.0,6.1526808,391.3073192
重庆,2007,1468.87,1.003,4770.7,14.732766099999997,1454.1372339
四川,2007,4731.1,1.484,10562.1,70.209524,4660.8904760000005
贵州,2007,1872.64,1.128,2847.5,21.1233792,1851.5166208
云南,2007,2573.82,1.143,5077.4,29.4187626,2544.4012374000004
西藏,2007,158.15,0.0,344.1,0.0,158.15
陕西,2007,2013.0,2.343,5681.8,47.16459,1965.83541
甘肃,2007,1414.76,1.211,2675.1,17.1327436,1397.6272564
青海,2007,298.56,3.088,720.1,9.219532800000001,289.3404672
宁夏,2007,309.5,2.851,877.6,8.823845,300.676155
新疆,2007,830.42,3.405,3500.0,28.275800999999998,802.144199
北京,2008,980.9,18.35,11813.1,179.99515,800.90485
天津,2008,647.32,7.173,5182.4,46.432263600000006,600.8877364
河北,2008,3725.66,1.808,14200.1,67.3599328,3658.3000672
山西,2008,1614.05,2.084,7223.0,33.636802,1580.413198
内蒙古,2008,1103.28,2.178,6242.4,24.0294384,1079.2505616
辽宁,2008,2198.2,4.79,12137.7,105.29377999999998,2092.90622
吉林,2008,1281.4,2.912,4834.7,37.314368,1244.085632
黑龙江,2008,1852.4,1.958,7134.2,36.269992,1816.130008
上海,2008,1053.24,14.529,14536.9,153.0252396,900.2147604
江苏,2008,4700.96,2.32,30945.5,109.062272,4591.897728
浙江,2008,3252.35,3.311,21284.6,107.68530849999999,3144.6646915
安徽,2008,3916.0,1.143,9517.7,44.75988,3871.24012
福建,2008,2033.0,2.991,10931.8,60.807030000000005,1972.19297
江西,2008,2404.5,2.045,6934.2,49.17202499999999,2355.327975
山东,2008,5815.1,1.985,27106.2,115.42973500000002,5699.670265000001
河南,2008,5835.45,1.033,17735.9,60.2801985,5775.1698015
湖北,2008,3607.0,2.681,11497.5,96.70367,3510.29633
湖南,2008,3910.06,1.67,11307.4,65.298002,3844.761998
广东,2008,5471.72,3.366,36704.2,184.17809520000003,5287.5419048
广西,2008,2799.0,1.022,6455.4,28.60578,2770.39422
海南,2008,408.36,1.884,1474.7,7.6935024,400.6664976
重庆,2008,1492.43,1.329,5899.5,19.8343947,1472.5956053
四川,2008,4740.0,1.041,12756.2,49.343399999999995,4690.6566
贵州,2008,1867.2,1.393,3504.5,26.010096000000004,1841.189904
云南,2008,2638.37,0.907,6016.6,23.930015899999997,2614.4399841
