地区,年份,总人数,高学历人数占比,gdp,高学历人数,低学历人数,x,a
甘肃,2012,1358.0,4.749,5393.1,64.49142,1293.50858,1935.6511234521531,2.7861942344143253
青海,2012,299.0,6.769,1528.5,20.23931,278.76069,449.22548413267174,3.4025229066225045
宁夏,2012,344.47,5.436,2131.0,18.7253892,325.74461080000003,500.6710834409612,4.256287352076098
新疆,2012,1246.0,5.893,7411.8,73.42678,1172.57322,1832.8501541580495,4.043865770033304
北京,2013,1137.2,33.117,21134.6,376.606524,760.593476,2207.610136673672,9.573520092567009
天津,2013,711.0,16.522,9945.4,117.47141999999998,593.52858,1239.1009187766429,8.026303466725725
河北,2013,4032.0,4.203,24259.6,169.46496000000002,3862.53504,5650.103020270586,4.293656224136988
山西,2013,1855.0,5.606,11987.2,103.9913,1751.0087,2708.4393265471426,4.425869866275313
内蒙古,2013,1370.0,6.42,11392.4,87.954,1282.046,2041.5983141253407,5.580137836703063
辽宁,2013,2518.88,6.276,19208.8,158.0849088,2360.7950912,3740.691894995035,5.135092795453418
吉林,2013,1457.0,6.724,9427.9,97.96868,1359.03132,2186.773949929861,4.311328109749246
黑龙江,2013,1997.0,4.355,11849.1,86.96935000000002,1910.03065,2812.142009984954,4.21354965642841
上海,2013,1368.91,18.499,23204.1,253.2346609,1115.6753391000002,2431.9766322888345,9.541251215955004
江苏,2013,4791.9,6.673,59349.4,319.763487,4472.136513,7183.57386216173,8.261820806578326
浙江,2013,3436.0,8.259,37334.6,283.77924,3152.22076,5327.597009497555,7.007774787290269
安徽,2013,4275.9,4.058,20584.0,173.51602199999996,4102.383978,5963.299595328972,3.4517802889063907
福建,2013,2210.0,7.827,22503.8,172.9767,2037.0233,3397.1942861336734,6.624231087357515
江西,2013,2362.0,3.777,14300.2,89.21274,2272.78726,3262.5810988504973,4.383094110683833
山东,2013,5840.0,6.66,47344.3,388.944,5451.056,8752.150768668407,5.409447489123086
河南,2013,5094.0,3.656,31632.5,186.23664,4907.76336,7006.07254891807,4.515011767168315
湖北,2013,3404.0,4.863,25378.0,165.53652000000002,3238.46348,4868.355113524434,5.21284898250318
湖南,2013,4036.45,4.771,23545.2,192.5790295,3843.8709705,5757.204417134663,4.0896932424223955
广东,2013,6273.0,5.638,62503.4,353.67174,5919.32826,9166.78584234934,6.818464080533282
广西,2013,2782.26,2.991,12448.4,83.21739660000001,2699.0426034,3730.1150496092414,3.3372697180758717
海南,2013,490.56,5.029,3115.9,24.6702624,465.8897376,704.9766231994073,4.419862868443862
重庆,2013,1618.69,5.543,13027.6,89.72398670000001,1528.9660133,2359.459670659055,5.521433640932321
四川,2013,4634.0,4.265,26518.0,197.6401,4436.3599,6506.754777617178,4.075457106700906
贵州,2013,1796.0,3.652,7973.1,65.58992,1730.41008,2469.7876778760315,3.2282532103555996
云南,2013,2835.0,4.242,12825.5,120.2607,2714.7393,3977.7623524346786,3.224300212945066
西藏,2013,175.0,2.589,828.2,4.53075,170.46925,230.58249920388616,3.591773022061346
陕西,2013,2090.0,7.182,15905.4,150.1038,1939.8962,3169.2326741265015,5.0186911582261216
甘肃,2013,1352.0,5.761,6014.5,77.88872,1274.11128,1982.0441150800848,3.034493508110935
青海,2013,296.0,6.776,1713.3,20.05696,275.94304,444.7894958061005,3.8519344907076856
宁夏,2013,345.0,5.169,2327.7,17.83305,327.16695,497.766286564772,4.676290988013925
新疆,2013,1260.0,6.849,8392.6,86.2974,1173.7026,1896.5138890966637,4.425277372472877
北京,2014,1141.8,37.37,22926.0,426.69066,715.10934,2246.572331762095,10.20487952952667
天津,2014,718.0,15.85,10640.6,113.803,604.197,1242.4403920027519,8.564274043640745
河北,2014,3978.0,5.53,25208.9,219.9834,3758.0166,5796.46228327611,4.349014755557445
山西,2014,1842.0,5.99,12094.7,110.3358,1731.6642,2716.2186336114323,4.452771161472786
内蒙古,2014,1360.0,6.92,12158.2,94.112,1265.888,2050.319495468583,5.929905083998309
辽宁,2014,2562.23,7.5,20025.7,192.16725,2370.06275,3911.9684057585937,5.119085310229313
吉林,2014,1427.01,7.25,9966.5,103.458225,1323.551775,2167.0973390002,4.599008923428465
黑龙江,2014,1946.0,4.63,12170.8,90.0998,1855.9002,2763.841639536555,4.403580807922417
上海,2014,1365.63,23.25,25269.8,317.508975,1048.121025,2519.385316041836,10.030144987786528
江苏,2014,4812.82,7.09,64830.5,341.228938,4471.591062,7283.314905282383,8.901235336258805
浙江,2014,3459.0,9.72,40023.5,336.2148,3122.7852,5508.318522300485,7.266010459991455
安徽,2014,4311.03,4.8,22519.7,206.92944,4104.10056,6154.135239083743,3.659279350408432
福建,2014,2219.0,8.11,24942.1,179.9609,2039.0391,3430.5235227946505,7.2706395494064715
江西,2014,2348.0,4.14,15667.8,97.2072,2250.7928,3283.5068484370595,4.771666612316594
山东,2014,5798.0,7.49,50774.8,434.2702000000001,5363.7298,8850.414135068806,5.736997074386651
河南,2014,5082.0,4.57,34574.8,232.24740000000003,4849.7526,7204.5856232371325,4.798999110855873
